Designator,Footprint,Quantity,Value,LCSC Part #
"C25, C26, C27, C28, C33, C34",0603,6,0.1uF, C14663
C38,0603,1,22uF, C59461
C39,0603,1,10uF,C19702
"J10, J11, J8, J9",PinSocket_1x08_P2.54mm_Vertical,4,Conn_01x08,C27438
"J12, J4, J5",PinSocket_1x04_P2.54mm_Vertical,3,Conn_01x04,C2905415
J2,PinSocket_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,C5333437
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C49257
"J6, J7",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05,C50950
"L12, L4, L5, L6, L7",1206,5,LED (yellow),C2298
"Q1, Q2",SOT-23-3,2,Q_PMOS_GSD, C2591
Q3,SOT-23-3,1,Q_NMOS_GSD,C2589
"R1, R2, R3, R59, R61, R64",0603,6,220, C22962
"R30, R31, R32, R33, R58",0603,5,470,C23179
"R34, R38, R40, R42, R47, R49, R60",0603,7,10k, C25804
"R35, R36, R37, R39, R41, R44",0603,6,1k,C21190
"R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96",0603,31,0, C21189
"SW1, SW2, SW3, SW4",5mm_push_smd,4,SW_Push_Dual,C83206
"SW5, SW6",SW-SMD_K3-1235S-K1,2,SW_SPDT,C223837
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C94058
