Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C26, C27, C30, C31, C4, C5, C6, C7, C9",0402,21,0.1uF,C1525
"C10, C2, C3, C8",0603,4,4.7uF, C19666
C12,0402,1,15pF,C1548
"C13, C14",0402,2,22pF,C1555
"C25, C28, C29, C32",0603,4,10uF, C19702
D1,D_SOD-323,1,D,C22640
"J1, J2, J3, J4",PinHeader_1x08_P2.54mm_Vertical,4,Conn_01x08,C2829996
J7,USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0_MPN,C393939
L1,LED_Cree-PLCC4_2x2mm_CW,1,LED_ARGB,C2874116
"L2, L3",0603,2,LED (Red),C2286
R1,0402,1,100,C25076
"R10, R11, R12, R13, R9",0402,5,10k,C25744
"R14, R15, R17, R18",0402,4,5.1k,C25905
R16,0402,1,1.5k,C25867
"R19, R20, R21",0402,3,470,C25117
"R3, R4, R8",0402,3,0,C17168 
R7,0402,1,12k,C25752
SW1,TS-1088-AR02016_miniPushSwitch,1,SW_Push,C720477
U1,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,1,iCE40UP5k-SG48ITR, C2678152
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ,C179173
U3,LQFP-48_7x7mm_P0.5mm,1,FT232H,C51997
U4,SOT-23-3,1,AZ1117-1.2, C29175
U5,SOT-23-3,1,AZ1117-3.3,C5336479
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C725989
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz, C7275089
