Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF, C19702
"C10, C11",0402,2,20pF, C1554
"C3, C4, C5, C8, C9",0402,5,0.1uF, C1525
J1,USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0_MPN,C393939
"J2, J3, J4, J5",PinHeader_1x07_P2.54mm_Vertical,4,Conn_01x07,C492406
"L1, L2",0603,2,LED (Blue),C2288 
L3,0603,1,LED (Red),C2286
R1,0402,1,10k, C25744
"R10, R11, R12, R3",0402,4,1k, C11702
"R13, R14",0402,2,5.1k, C25905
"R2, R6, R8",0402,3,0, C17168
"R4, R9",0402,2,100, C25076
"R5, R7",0402,2,270, C138294
"SW1, SW2",TS-1088-AR02016_miniPushSwitch,2,SW_Push,C720477
SW3,5mm_push,1,SW_Push,C5381221
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C94058 
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V305FBP6,C5123443
U3,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,CH32V003F4U6,C5299908
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C251611
