Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C3, C39, C4, C40",0603,8,10uF,C19702
"C12, C14, C18, C19, C2, C20, C22, C23, C24, C25, C27, C29, C30, C31, C34, C37, C38, C41, C42, C5, C6, C7, C8, C9",0402,24,0.1uF, C1525
"C15, C17, C26, C35",0402,4,27pF, C1557
C16,0402,1,15pF,C1548
"C21, C32, C33",0603,3,4.7uF,C19666
C28,0402,1,10nF,C15195
"C36, C43",0603,2,22uF,C59461
D1,D_SOD-323,1,D, C7420360
"J1, J2, J3, J4",PinHeader_1x12_P2.54mm_Vertical,4,Conn_01x14_Female,C2894937
J5,USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0_MPN,C393939
"L1, L2, L3, L4, L5",0603,5,LED (Blue),C2288
L6,0603,1,LED (Red),C2286
R1,0402,1,120, C25079
"R10, R11, R6, R7",0402,4,1k, C11702
"R12, R8, R9",0402,3,100k, C25741
"R13, R14",0402,2,12k, C25752
"R15, R16",0402,2,5.1k, C25905
"R17, R18, R19, R3, R4, R5",0402,6,470, C25117
R2,0402,1,1M, C26083
"SW1, SW2",SW_PUSH_6mm,2,SW_SPST,C720477
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias,1,FE310-G002,C22370604
U2,QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,1,FT2232HQ-REEL,C193662
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ,C179173
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C94058
U5,SOT-223-3_TabPin2,1,AMS1117-1.8, C347220
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32.7680kHz, C3003273
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C7275097
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C7275089
