Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C36, C37, C38",0603,4,10uF,C19702
"C10, C12, C13, C14, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C3, C30, C31, C32, C33, C34, C35, C40, C41, C42, C43, C5, C6, C7, C8",0402,29,0.1uF,C1525
"C11, C15, C16, C26, C27, C28, C29, C9",0603,8,4.7uF,C19666
C39,0603,1,22uF,C59461
C4,0603,1,1uF,C15849
D1,D_SOD-323,1,D, C22640
"HB1, L5",0603,2,LED (Red),C2286
IC1,ESP32C3MINI1N4,1,ESP32-C3-MINI-1-N4,C2838502
J2,USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0_MPN,C393939
"L1, L2, L3, L4",0603,4,LED (Blue),C2288
"R1, R2, R29, R30, R31, R32, R33, R39, R41, R43, R7",0402,11,4.7k,C25900
"R10, R12, R17, R19, R21, R22, R23, R24, R25, R28, R3, R4, R5, R6, R8, R9",0402,16,10k,C25744
"R11, R18, R20, R26, R27, R34, R35, R36, R37, R38, R40, R46",0402,12,1k,C11702
"R14, R15",0603,2,0, C21189
R42,0402,1,9.1k, C4968
"R44, R45",0402,2,5.1k,C25905
"SW1, SW2, SW3",TS-1088-AR02016_miniPushSwitch,3,SW_Push,C720477
U1,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,C193969
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,at25sf161b, C5555631
U4,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20, C969913
U5,SOT-223-3_TabPin2,1,AZ1117-1.2,C110105
U6,SOT-223-3_TabPin2,1,AMS1117-3.3, C6186
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,100MHz,C496694
