Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C27",0805,2,22uF,
"C10, C11, C12, C15, C16, C17, C18, C19, C20, C21, C23, C24, C25, C28, C3, C4, C5, C6, C7, C8, C9",0603,21,0.1uF,
"C13, C14",0603,2,27pF,
"C2, C26",0805,2,10uF,
C22,0603,1,0.01uF,
"GPIO1, PWR1, RX1, TX1",0805,4,LED_R,
"J1, J5, J6, J7",PinHeader_1x14_P2.54mm_Vertical,4,Conn_01x14,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
J4,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
"L1, L2, L3, L4",0805,4,LED_B,
"R1, R10, R19, R2, R3, R4, R6, R7, R9",0603,9,470 Ohm,
"R11, R12, R13, R15, R16, R17, R18, R5, R8",0603,9,10K Ohm,
R14,0603,1,120 Ohm,
SW1,SW_PUSH_6mm,1,SW_SPST,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC125D,
U3,Caravel_WCSP,1,Caravel,C9900059699
U4,LQFP-48_7x7mm_P0.5mm,1,FT232H,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ,
U6,SOT-223-3_TabPin2,1,LM1117,
X1,Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm,1,10Mhz,
X2,Crystal_SMD_HC49-SD,1,12MHz,
