Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C19, C2, C23, C7",0603,7,4.7uF,C19666
"C10, C11, C12, C13, C14, C15, C18, C20, C21, C22, C24, C25, C26, C27, C29, C3, C30, C31, C32, C33, C34, C35, C4, C40, C5, C6, C8, C9",0402,28,0.1uF,C1525
"C28, C36, C37, C39",0603,4,10uF,C19702
C38,0603,1,22uF,C59461
D1,D_SOD-323,1,D, C22640
"HB1, L5",0603,2,LED (Red),C2286
"J1, J2, J3, J5",PinHeader_1x14_P2.54mm_Vertical,4,Conn_01x14,C22465874
J7,USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0_MPN,C393939
"L1, L2, L3, L4",0603,4,LED (Blue),C2288
"R1, R10, R18, R19, R2, R26, R31, R32, R33, R34, R36, R37, R39, R42, R43, R45, R46, R49",0402,18,10k,C25744
"R13, R15, R16, R23, R24, R25, R3, R52, R53, R56, R6, R8, R9",0402,13,4.7k,C25900
"R20, R21, R35, R47, R48, R50",0402,6,1k,C11702
"R22, R27, R28, R29, R30, R57",0402,6,470,C25117
"R38, R44",0402,2,0,C17168
R51,0402,1,9.1k, C4968
"R54, R55",0402,2,5.1k,C25905
"SW1, SW2, SW3",TS-1088-AR02016_miniPushSwitch,3,SW_Push,C720477
U1,LQFP-128_14x14mm_P0.4mm,1,THEJAS32,C9900173402
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,C193969
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,C179173
U4,COMM-SMD_22P-L24.0-W16.0-P2.00_ZIGBEE,1,2.4GHz,C5187541
U5,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20, C969913
U6,SOT-223-3_TabPin2,1,AZ1117-1.2,C110105
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C94058
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,100MHz,C496694
