LCSC Part #,Quantity,Footprint,Value,board,Designator
C105871,13,0402,4.7k,VSDSquadron_Ultra,R
C108793,1,LED_Cree-PLCC4_2x2mm_CW,LED_ARGB,VSDSquadron_FM,L
C110105,1,SOT-223-3_TabPin2,AZ1117-1.2,VSDSquadron_Ultra,U
C11702,10,0402,1k,"VSDSquadron_Mini, VSDSquadron_Ultra",R
C138294,2,0402,270,VSDSquadron_Mini,R
C1525,54,0402,0.1uF,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",C
C1548,1,0402,15pF,VSDSquadron_FM,C
C1550542,1,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,CP2102N-Axx-xQFN20,VSDSquadron_Ultra,U
C1554,2,0402,20pF,VSDSquadron_Mini,C
C1555,2,0402,22pF,VSDSquadron_FM,C
C163450,1,0402,9.1k,VSDSquadron_Ultra,R
C17168,8,0402,0,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",R
C179173,2,SOIC-8_5.3x5.3mm_P1.27mm,"W25Q32JVSS, W25Q32JVSSIQ","VSDSquadron_FM, VSDSquadron_Ultra",U
C193404,1,D_SOD-323,D,VSDSquadron_Ultra,D
C193969,1,TSSOP-10_3x3mm_P0.5mm,ADS1015IDGS,VSDSquadron_Ultra,U
C19666,11,0603,4.7uF,"VSDSquadron_FM, VSDSquadron_Ultra",C
C19702,10,0603,10uF,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",C
C22465874,4,PinHeader_1x14_P2.54mm_Vertical,Conn_01x14,VSDSquadron_Ultra,J
C22640,1,D_SOD-323,D,VSDSquadron_FM,D
C2286,5,0603,LED (Red),"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra","HB, L"
C2288,6,0603,LED (Blue),"VSDSquadron_Mini, VSDSquadron_Ultra",L
C25076,3,0402,100,"VSDSquadron_FM, VSDSquadron_Mini",R
C25117,9,0402,470,"VSDSquadron_FM, VSDSquadron_Ultra",R
C251611,1,Crystal_SMD_3225-4Pin_3.2x2.5mm,24MHz,VSDSquadron_Mini,Y
C25744,24,0402,10k,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",R
C25752,1,0402,12k,VSDSquadron_FM,R
C25867,1,0402,1.5k,VSDSquadron_FM,R
C25905,8,0402,5.1k,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",R
C2678152,1,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,iCE40UP5k-SG48ITR,VSDSquadron_FM,U
C29175,1,SOT-23-3,AZ1117-1.2,VSDSquadron_FM,U
C393939,3,USB-C-YTC-TC16S-23,USB_C_Receptacle_USB2.0_MPN,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",J
C492406,4,PinHeader_1x07_P2.54mm_Vertical,Conn_01x07,VSDSquadron_Mini,J
C496694,1,Crystal_SMD_3225-4Pin_3.2x2.5mm,100MHz,VSDSquadron_Ultra,X
C5123443,1,TSSOP-20_4.4x6.5mm_P0.65mm,CH32V305FBP6,VSDSquadron_Mini,U
C5187541,1,COMM-SMD_22P-L24.0-W16.0-P2.00_ZIGBEE,2.4GHz,VSDSquadron_Ultra,U
C51997,1,LQFP-48_7x7mm_P0.5mm,FT232H,VSDSquadron_FM,U
C5299908,1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,CH32V003F4U6,VSDSquadron_Mini,U
C5336479,1,SOT-23-3,AZ1117-3.3,VSDSquadron_FM,U
C5381221,1,5mm_push,SW_Push,VSDSquadron_Mini,SW
C59461,1,0603,22uF,VSDSquadron_Ultra,C
C6332201,4,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08,VSDSquadron_FM,J
C709194,1,Crystal_SMD_3225-4Pin_3.2x2.5mm,12MHz,VSDSquadron_FM,X
C720477,6,TS-1088-AR02016_miniPushSwitch,SW_Push,"VSDSquadron_FM, VSDSquadron_Mini, VSDSquadron_Ultra",SW
C7275089,1,Crystal_SMD_3225-4Pin_3.2x2.5mm,12MHz,VSDSquadron_FM,Y
C94058,2,SOT-223-3_TabPin2,AMS1117-3.3,"VSDSquadron_Mini, VSDSquadron_Ultra",U
C9900173402,1,LQFP-128_14x14mm_P0.4mm,THEJAS32,VSDSquadron_Ultra,U
